trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order,lambda1_metaweight
702,2.0008638948202133,PRUNED,0:00:00.335398,6.334831803202886e-05,31,1,2,0.5011218193260352
703,2.1670502722263336,PRUNED,0:00:00.067908,0.00013475171743616433,205,1,2,0.6002491815171169
704,2.129611219678606,PRUNED,0:00:00.077190,3.510667366237339e-05,243,2,3,0.6571998642151903
705,2.2643505417363485e-06,COMPLETE,0:00:27.957583,6.191909924935223e-05,4,2,2,0.5007288437793607
706,2.0387076164813753,PRUNED,0:00:00.179846,5.71110489705032e-05,32,3,2,0.6318290157144262
707,2.0343367952898324,PRUNED,0:00:00.294934,6.247133943184132e-05,18,3,2,0.6249541957439678
708,1377.0992423853565,PRUNED,0:00:00.936725,0.037399609878723386,4,2,2,0.9340604291481341
709,2.1737515156085676,PRUNED,0:00:00.294907,0.0001264376604801793,23,2,3,1.0032844981460773
710,2.027712347832593,PRUNED,0:00:00.282283,9.69379929191804e-05,17,2,2,0.5810805172783753
711,2.093776632875404,PRUNED,0:00:00.812447,0.00021312131548038979,5,2,2,1.0330456437693003
712,2.091447066876196,PRUNED,0:00:00.207442,3.8803131483256616e-05,24,2,2,1.03350828495352
713,2.0589317321777343,PRUNED,0:00:00.072835,7.005806703199721e-05,151,2,2,0.5994289893120146
714,2.4419988707492224,PRUNED,0:00:00.115137,9.394981404388523e-05,82,2,3,1.302508265013271
715,2.1957081258296967,PRUNED,0:00:00.070179,0.00018375173384644627,196,2,2,0.5284567499005276
716,2.307386466782191e-06,COMPLETE,0:00:27.946154,6.25738066344258e-05,4,2,2,0.5901222434189934
717,2.0671662641608197,PRUNED,0:00:00.341018,1.4962031601582217e-06,13,2,2,0.7783076580225285
718,2.0323687108357746,PRUNED,0:00:00.267104,6.34066662511828e-05,20,4,2,0.571595315077408
719,2.042737146218618,PRUNED,0:00:00.113409,4.527014324128126e-05,63,2,2,0.6188694637048078
720,2.0357404178188694,PRUNED,0:00:00.135207,2.8359878747639478e-05,48,2,2,0.5904038313878979
721,1.9957822398705916,PRUNED,0:00:00.757637,8.57650915156377e-05,17,2,3,0.5001407505380571
722,2.092926013469696,PRUNED,0:00:00.083845,3.6343221303978477e-06,157,2,3,0.8380521875429009
723,2.095034715949848,PRUNED,0:00:00.284056,8.351875338173984e-05,16,2,2,1.0587763196107793
724,2.120105211551373,PRUNED,0:00:00.079212,0.0001237057777014807,121,2,2,0.6390487685720421
725,2.029529604219621,PRUNED,0:00:00.208475,5.911574825011377e-05,24,2,2,0.6033345049092682
726,2.030277681621638,PRUNED,0:00:00.296704,7.075620235748779e-05,17,4,2,0.5727109026745321
727,2.102339968085289,PRUNED,0:00:00.456531,3.95224879589408e-05,11,4,2,1.0999149447331078
728,2.1519341809409007,PRUNED,0:00:00.063913,4.089760078858211e-05,219,3,2,1.1862300835703343
729,2.2744641228200635e-06,COMPLETE,0:00:27.431194,5.2828994231317145e-05,4,2,2,0.5168083516487636
730,2.042515916400589e-06,COMPLETE,0:00:29.370195,5.6896264991371374e-05,4,2,2,0.5535349893047473
731,154.8527206579844,PRUNED,0:00:00.068917,0.005378342407848202,181,2,2,0.5907593267959731
732,2.028827622372617,PRUNED,0:00:00.945922,5.6646579995967506e-05,4,2,2,0.6673896712830838
733,8925.905946810331,PRUNED,0:00:00.256238,0.05572514251360763,27,2,3,0.5545285978478076
734,2.0386310295319894,PRUNED,0:00:00.213087,5.354017292878064e-05,21,1,2,0.6675126080380663
735,2.1576606480971625,PRUNED,0:00:00.332078,0.00038234530456273107,13,2,2,0.6143163172682705
736,2.0520461002985635,PRUNED,0:00:00.151100,6.979988298181126e-05,39,2,2,0.6357715398959102
737,2.0409646156506662,PRUNED,0:00:00.152664,2.0801172515854507e-05,39,2,2,0.6312264665692164
738,2.0388230643373855,PRUNED,0:00:00.234383,1.0034996377096502e-06,32,2,3,0.5257543613999428
739,2.042988419532776,PRUNED,0:00:00.115880,3.167361846861407e-05,163,4,3,0.5486738653286118
